time/total_timesteps,train/ent_coef,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,time/episodes,rollout/ep_len_mean,time/fps,train/critic_loss,train/actor_loss
3152,0.003105128649622202,34,1292.0713799999999,805702,4,788.0,91,0.02761739119887352,-250.65194702148438
6304,0.003015893278643489,65,1345.1034989999998,812006,8,788.0,96,0.02863427996635437,-240.61166381835938
9456,0.0026350724510848522,96,1375.0269358333333,818310,12,788.0,97,0.025588711723685265,-231.45164489746094
12608,0.0032862897496670485,127,1392.4727229374998,824614,16,788.0,98,0.12328893691301346,-224.7241973876953
15760,0.0023325628135353327,158,1413.053987,830918,20,788.0,99,0.026289155706763268,-219.87667846679688
18912,0.0022238099481910467,189,1428.0717605416667,837222,24,788.0,99,0.032931793481111526,-215.87899780273438
22064,0.002044941298663616,221,1441.6517306428573,843526,28,788.0,99,0.02502988837659359,-213.17176818847656
25216,0.0018112530233338475,253,1454.9444698124998,849830,32,788.0,99,0.016397695988416672,-210.69900512695312
28368,0.0017096140654757619,285,1465.5442356388887,856134,36,788.0,99,0.016471361741423607,-209.44041442871094
31520,0.0016617829678580165,317,1475.460040775,862438,40,788.0,99,0.01427964586764574,-208.2990264892578
34672,0.0015600713668391109,349,1484.6935965681816,868742,44,788.0,99,0.011599202640354633,-206.9665985107422
37824,0.0015306981513276696,379,1493.4875520833332,875046,48,788.0,99,0.012813408859074116,-206.80999755859375
40976,0.0014871038729324937,411,1502.0024887884615,881350,52,788.0,99,0.010330315679311752,-206.0386505126953
