train/critic_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/ent_coef,time/total_timesteps,train/n_updates,time/episodes,time/time_elapsed,train/actor_loss
1.5910838842391968,28.99303575,158.0,37,0.8574353456497192,632,1062,4,16,-108.79780578613281
0.3187558054924011,33.435146875,158.0,54,0.7225534915924072,1264,2326,8,23,-232.0857696533203
0.2577006220817566,38.16067758333333,158.0,63,0.6146729588508606,1896,3590,12,29,-334.148681640625
0.24752147495746613,44.1507876875,158.0,69,0.5264001488685608,2528,4854,16,36,-415.67364501953125
0.17753221094608307,52.720705699999996,158.0,73,0.4529341757297516,3160,6118,20,42,-479.36761474609375
0.11496778577566147,62.339213666666666,158.0,77,0.391006737947464,3792,7382,24,49,-528.1568603515625
0.08558659255504608,73.47957557142857,158.0,79,0.3383185863494873,4424,8646,28,55,-564.6644287109375
0.07082195580005646,83.53079381250001,158.0,81,0.29318398237228394,5056,9910,32,61,-590.71240234375
0.04815736413002014,93.64163116666667,158.0,83,0.2543488144874573,5688,11174,36,67,-608.2376708984375
0.042756274342536926,103.85795997500001,158.0,85,0.2208177000284195,6320,12438,40,74,-618.7899169921875
0.039281636476516724,112.46703411363637,158.0,86,0.19179005920886993,6952,13702,44,80,-623.4329833984375
0.030322883278131485,120.99513841666668,158.0,87,0.16664381325244904,7584,14966,48,86,-623.3623657226562
0.029357437044382095,129.20532525,158.0,88,0.1448325663805008,8216,16230,52,92,-619.448486328125
0.025602329522371292,137.20625532142859,158.0,89,0.12590333819389343,8848,17494,56,98,-612.6264038085938
0.024497099220752716,144.49431081666668,158.0,90,0.1094687357544899,9480,18758,60,104,-603.2330932617188
0.023846542462706566,151.316487046875,158.0,91,0.09520099312067032,10112,20022,64,110,-592.4339599609375
0.02549121342599392,157.29400014705885,158.0,91,0.08280366659164429,10744,21286,68,116,-579.9742431640625
0.023094186559319496,162.94919672222224,158.0,92,0.07202485203742981,11376,22550,72,123,-566.3601684570312
