time/episodes,train/n_updates,time/total_timesteps,train/ent_coef,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/actor_loss,rollout/ep_len_mean,train/critic_loss
4,998,600,0.865210235118866,32.998695749999996,16,37,-103.49313354492188,150.0,1.9939219951629639
8,2198,1200,0.7348694205284119,29.31267325,22,53,-221.7255401611328,150.0,0.3866574168205261
12,3398,1800,0.6297049522399902,38.5793495,28,63,-321.27850341796875,150.0,0.28143152594566345
16,4598,2400,0.5430514216423035,46.77071825,34,69,-402.23834228515625,150.0,0.2508498430252075
20,5798,3000,0.4704779386520386,57.0136772,40,74,-466.7106628417969,150.0,0.2085350602865219
24,6998,3600,0.40892133116722107,66.48561995833333,46,77,-516.9444580078125,150.0,0.15157563984394073
28,8198,4200,0.356241375207901,78.7145340357143,52,80,-555.8623046875,150.0,0.09509124606847763
32,9398,4800,0.3108508586883545,87.2822053125,58,82,-584.6527709960938,150.0,0.07619637250900269
36,10598,5400,0.2715345025062561,97.99104783333333,64,83,-605.2113037109375,150.0,0.061285946518182755
40,11798,6000,0.23736776411533356,106.87857187499999,70,85,-618.7100219726562,150.0,0.05536783114075661
44,12998,6600,0.20761379599571228,116.7389894090909,76,86,-626.2850341796875,150.0,0.04537583887577057
48,14198,7200,0.18166673183441162,125.799409875,82,87,-629.2255859375,150.0,0.04761255159974098
52,15398,7800,0.159014031291008,135.21204765384616,88,87,-628.3645629882812,150.0,0.04571140557527542
56,16598,8400,0.13923853635787964,143.89774653571428,94,88,-624.4373168945312,150.0,0.04249335825443268
60,17798,9000,0.12197176367044449,152.51068834999995,100,89,-617.972900390625,150.0,0.039163313806056976
64,18998,9600,0.10688191652297974,160.789844828125,106,89,-609.7896118164062,150.0,0.03799509257078171
68,20198,10200,0.0936894416809082,168.38317279411768,112,90,-600.2218017578125,150.0,0.04064364358782768
72,21398,10800,0.082149937748909,175.586796375,118,90,-589.267822265625,150.0,0.036514826118946075
76,22598,11400,0.072060227394104,183.0023684605263,124,91,-577.4920654296875,150.0,0.04259690269827843
80,23798,12000,0.06324291229248047,189.734054125,130,91,-565.223388671875,150.0,0.041501086205244064
